id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,4,0:00,US-23 Blockade in Wise County,"[UPDATE 0:22] Yosemite (Food City) deployed A1+A15+A16 at 0:15 — mobile distribution rerouted and transparent rationing published. Redwood (VDOT) deployed A1+A7+A9+A11+A12+A23 at 0:20 — detours active, barriers placed, protest route negotiation underway, civic systems monitored. A38 Emergency Convoy Lane denied (Governor approval required, Olympic absent). Physical blockade improving with VDOT detours but Sheriff's Coalition (Bryce) still absent — no law enforcement de-escalation or negotiation force on scene. Convoy hijacking (inject 6) already occurred.",Wise County (US-23),5,"VDOT SW Region;SW Virginia Sheriff's Coalition;Food City / Regional Supply Chain",10,partial,175
2,4,0:00,Deepfake 'Martial Law' Broadcast,"[UPDATE 0:22] Banff (WDBJ7) deployed A13 JIC ($80K), A17 Fact-Check Desk ($60K), A19 Deepfake Takedown ($250K) at 0:16. Glacier (Shentel) deployed A1+A14 Emergency Alert+A19 Takedown ($250K)+A22 SMS Hotline ($100K)+A23 Civic Systems ($200K) at 0:22. Confirmed bilateral collaboration between Banff and Glacier. JIC operational, fact-checks publishing, takedown requests filed, emergency alerts sent, rumor hotline active. However, CISA (Shenandoah) has not responded — no federal threat intelligence or attribution. Response was late (past 0:10 deadline); panic arms run and accidental shooting (inject 7) already occurred.",Regional,4,"Shentel Communications;CISA Regional Coordinator;WDBJ7 News",10,partial,175
3,4,0:00,Governance Breakdown — Local Officials Defy State,"Several elected officials from coalfield counties announce they will ignore state distribution priorities and establish 'local control' over incoming supplies. A draft letter calling for an 'Appalachian emergency autonomy zone' is circulating and gaining signatures. Even officials who privately disagree are under intense constituent pressure to sign. If the state responds too aggressively it risks triggering broader defiance across the region; if it does nothing, coordination collapses and supply allocation becomes chaotic. The EMA's emergency operations center is caught in the middle, unable to route resources without clear authority.",Coalfield Counties,4,"Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia EMA",15,open,175
4,4,0:00,Community Violence Spiral — Threats & Harassment,"[UPDATE 0:22] RESOLVED. All 3 required teams responded. Sequoia (Carilion) deployed A18 Expert Forum ($40K), A24 Staff Safety ($80K), A25 Mental Health Teams ($150K), A31 Field Sampling ($180K) at 0:18 — confirmed collaboration with Denali on A18/A31. Zion (United Way) deployed A1+A26 Peacekeepers ($60K)+A27 Grievance Intake ($120K) at 0:17 — comprehensive mediation and de-escalation. Yellowstone (Faith) deployed A26+A28 Trusted Messengers ($10K)+A8 De-escalation ($100K)+A4 Mediation ($150K)+A29 Safe Havens ($40K) at 0:21 — broad community response. Staff safety protocols active, mental health teams deploying, peacekeepers trained, grievance intake operational, trusted messengers active, safe havens open. Response was late (past 0:15 deadline); healthcare worker attack (inject 9) already occurred.",Rural Roads & Distribution Sites,4,"Carilion Clinic System;United Way SW Virginia;Appalachian Faith & Community Network",15,resolved,175
5,4,0:00,Infrastructure Sabotage Threat & Environmental Panic,"[UPDATE 0:22] RESOLVED. All 3 required teams responded. Acadia (AEP) deployed A32+A33 at 0:08 — substations hardened, equity map published. Jasper (VT) deployed A21 at 0:11 — rumor amplification tracked. Denali (DEQ) deployed A1+A18 Expert Forum ($40K)+A30 Environmental Transparency ($20K)+A31 Field Sampling ($180K) at 0:19 — confirmed collaboration with Acadia and Sequoia. Contamination claims now being validated by field sampling, environmental status published, expert Q&A addressing public fears. Sabotage threats hardened against, amplification patterns mapped, and contamination panic being addressed with evidence.",Wise & Tazewell Counties,4,"AEP Appalachian Power;VA DEQ SW Regional Office;Virginia Tech Crisis Response",15,resolved,175
6,4,0:10,Supply Convoy Hijacking,"[ESCALATION — Inject 1 unresolved at 0:10] With the US-23 blockade unresolved, a fuel tanker attempting a back-road detour was stopped by an armed group and its cargo seized. The driver was unharmed but shaken. News of the hijacking is spreading fast and two other convoy drivers are refusing to proceed without armed escort. Distribution sites in Lee and Scott counties report they have less than 12 hours of supplies remaining. The situation has escalated from a protest into a law enforcement crisis layered on top of a logistics failure.",Lee County (Rural Route),5,"SW Virginia Sheriff's Coalition;SW Virginia EMA;Governor's SW Virginia Liaison;Food City / Regional Supply Chain",20,open,150
7,4,0:10,Panic Arms Run — Accidental Shooting at Store,"[ESCALATION — Inject 2 unresolved at 0:10] The unchallenged deepfake martial law video has triggered a rush on the last functioning sporting goods stores in the region. In the chaos at a Wytheville store, an accidental discharge injured two bystanders — one is in critical condition and being transported to Carilion. The incident is being livestreamed and commenters are blaming both 'government tyranny' and 'armed militias.' The shooting will dominate the next news cycle and further erode trust in the response unless officials can reframe the narrative with facts.",Wytheville,5,"SW Virginia Sheriff's Coalition;Carilion Clinic System;WDBJ7 News;SW Virginia EMA",15,open,150
8,4,0:15,Town Hall Erupts in Violence,"[ESCALATION — Inject 3 unresolved at 0:15] The public town hall in Christiansburg — intended as a listening session — has turned violent. Counter-protesters confronted speakers, chairs were thrown, and three people were injured including one elderly resident. Sheriff's deputies are on scene but outnumbered. WDBJ7 cameras captured footage that is already going viral nationally. The event is becoming the defining image of the crisis response — 'government can't even hold a meeting without it turning into a brawl.' Community leaders who organized the session are devastated and faith organizations are calling for emergency mediation.",Christiansburg,4,"Montgomery County Government;SW Virginia Sheriff's Coalition;Appalachian Faith & Community Network;WDBJ7 News;United Way SW Virginia",15,open,125
9,4,0:15,Healthcare Worker Attacked En Route,"[ESCALATION — Inject 4 unresolved at 0:15] A Carilion home health nurse making rounds in Buchanan County was pulled from her vehicle at a militia checkpoint and assaulted before bystanders intervened. She is hospitalized with a concussion and broken wrist. Carilion has suspended all rural home health visits pending safety review — affecting 200+ homebound patients including dialysis and oxygen-dependent individuals. Staff across the system are calling in sick citing fear. If rural health services collapse, Phase 5 begins with a preventable mortality crisis.",Buchanan County,5,"Carilion Clinic System;SW Virginia Sheriff's Coalition;Governor's SW Virginia Liaison;SW Virginia EMA",15,open,150
10,4,0:15,Congressional Hearing Goes National,"The Senate subcommittee hearing on cyber attacks and disaster relief has turned into a partisan spectacle. A senator brandishes a screenshot of the deepfake video as evidence of 'federal failure.' Another calls the local protests 'insurrection lite.' National cable news crews are arriving in Roanoke. Viral clips from the hearing are being stripped of context and recirculated as proof of abandonment or incompetence. Without a coherent evidence-based counter-narrative from regional leaders, the national attention will harden political divisions and complicate the federal aid pathways the region desperately needs.",Washington DC & Roanoke,3,"Governor's SW Virginia Liaison;CISA Regional Coordinator;Virginia Tech Crisis Response;WDBJ7 News",20,hidden,100
