team,role,sector,budget,trust,score
Acadia,United Way SW Virginia,Humanitarian NGO,$17.1M,15,238
Arches,AEP Appalachian Power,Energy/Utilities,$12.325M,13,150
Banff,Montgomery County Government,Local Government,$6.2M,13,35
Bryce,Shentel Communications,Telecommunications,$39.8M,7,0
Denali,SW Virginia Sheriff's Coalition,Law Enforcement,$6.9M,14,105
Glacier,VA DEQ SW Regional Office,Environmental,$47.95M,14,80
Jasper,WDBJ7 News,Media,$9.05M,16,141
Olympic,Virginia Tech Crisis Response,Academic/Research,$13.525M,10,176
Redwood,Governor's SW Virginia Liaison,State Executive,$24M,18,35
Sequoia,VDOT SW Region,Transportation,$2.2M,12,105
Shenandoah,Carilion Clinic System,Healthcare,$13.35M,13,150
Yellowstone,CISA Regional Coordinator,Federal Cyber,$10.325M,11,141
Yoho,Appalachian Faith & Community Network,Community/Faith,$6.75M,12,153
Yosemite,SW Virginia EMA,Emergency Mgmt,$4.7M,13,105
Zion,Food City / Regional Supply Chain,Business/Supply,$1.56M,15,0
